length,height,speed,distance,object
15,22,0.04575781861873406,169,True
15,22,0.37616297696494727,156,True
15,22,0.23158715982579767,148,True
15,22,0.40348050525754964,135,True
15,22,0.27113864806820714,126,True
15,22,0.3751329677814394,113,True
15,22,0.2976917726481196,70,True
15,22,0.34616524671117677,22,True
23,37,0.34616524671117677,176,True
23,37,0.4074682950523905,162,True
23,37,0.21082863874838995,154,True
23,37,0.38714819653507526,141,True
23,37,0.3671039655288494,128,True
23,37,0.27928512451724596,119,True
23,37,0.3885441304316844,106,True
23,37,0.22493334674040558,98,True
23,37,0.39927825602110617,84,True
23,37,0.3058092503393446,37,True
15,22,0.3058092503393446,300,True
15,22,0.27696143687268887,291,True
15,22,0.22747687906336647,283,True
15,22,0.4072626452750142,270,True
15,22,0.385187253191294,257,True
15,22,0.2640898285282533,248,True
15,22,0.37981298411813874,235,True
15,22,0.3139707610656566,225,True
15,22,0.4264382011048226,210,True
15,22,0.2872889668210088,200,True
15,22,0.45741406386320016,185,True
15,22,0.3049981457107745,175,True
15,22,0.4357476988288095,160,True
15,22,0.2904964539007092,150,True
15,22,0.3976975543151893,135,True
15,22,0.4309629690518269,120,True
15,22,0.2880683511789067,110,True
15,22,0.37227289965158933,55,True
23,37,0.37227289965158933,180,True
23,37,0.28444444444444444,170,True
23,37,0.48307375727514246,155,True
23,37,0.32842922917906475,145,True
23,37,0.2774304159170283,135,True
23,37,0.45848073223342856,120,True
23,37,0.42314561853069954,105,True
23,37,0.2871906111773003,95,True
23,37,0.4724734154400721,80,True
23,37,0.30088695677125926,70,True
23,37,0.3911814121325786,15,True
15,22,0.3911814121325786,262,True
15,22,0.38027017715643074,247,True
15,22,0.45754047096126715,232,True
15,22,0.30661237618334003,222,True
15,22,0.28319800141791296,212,True
15,22,0.45086791695630674,197,True
15,22,0.4113541469155579,182,True
15,22,0.1448679565911179,177,True
15,22,0.5906472145552865,157,True
15,22,0.3180273723319559,147,True
15,22,0.4584406423970387,132,True
15,22,0.32547541263473195,122,True
15,22,0.3948224337774319,107,True
15,22,0.36850130819904303,57,True
15,22,0.35553566372866646,7,True
23,37,0.35553566372866646,189,True
23,37,0.42281006176033764,174,True
23,37,0.32691379579111457,164,True
23,37,0.43437282518641257,149,True
23,37,0.3161718390761275,139,True
23,37,0.43191564147627415,124,True
23,37,0.27988709236138454,114,True
23,37,0.45811684008941767,99,True
23,37,0.40484257263279816,84,True
23,37,0.3067043011538968,74,True
23,37,0.38380045885678443,19,True
23,37,0.38380045885678443,309,True
23,37,0.42808047955691336,294,True
23,37,0.3059949952944095,284,True
23,37,0.4504289181468674,269,True
23,37,0.3096615675388341,259,True
23,37,0.3904632341988978,244,True
23,37,0.45182310443387963,229,True
23,37,0.32789005456620646,219,True
23,37,0.3069781603138357,209,True
23,37,0.46141281389345223,194,True
23,37,0.296530407363941,184,True
23,37,0.37252017597356846,169,True
23,37,0.4416761557092211,154,True
23,37,0.3014925458962895,144,True
23,37,0.4387316685378763,129,True
23,37,0.3760313665487233,114,True
23,37,0.32380446530587037,104,True
23,37,0.40208190602791555,89,True
23,37,0.47464417469502307,74,True
23,37,0.315297195306216,64,True
23,37,0.3677412962949433,4,True
49,22,0.3677412962949433,208,True
49,22,0.3935160559926944,193,True
49,22,0.2814496896493877,183,True
49,22,0.4690985550038026,168,True
49,22,0.29556084842505814,158,True
49,22,0.4944208598888793,143,True
49,22,0.26674196461505195,133,True
49,22,0.41111760208582465,118,True
49,22,0.4485441170853926,104,True
49,22,0.31613847580140647,94,True
49,22,0.35110648286115137,44,True
32,22,0.28403983847903186,1,True
32,22,0.28403983847903186,385,True
32,22,0.46940304854847015,370,True
32,22,0.25067259535506387,360,True
32,22,0.44745606486255823,345,True
32,22,0.44042394119705985,330,True
32,22,0.30046233747627066,320,True
32,22,0.4154531287144404,305,True
32,22,0.30638839986851235,295,True
32,22,0.4471189885652152,280,True
32,22,0.30891350459580486,270,True
32,22,0.4609226576408273,255,True
32,22,0.30820980850344637,245,True
32,22,0.4646432897107914,230,True
32,22,0.30739662577136745,220,True
32,22,0.3836019754892994,205,True
32,22,0.3038998376999768,195,True
32,22,0.46007663731827886,180,True
32,22,0.2831463829557422,170,True
32,22,0.4673805261085647,155,True
32,22,0.31838707718467235,145,True
32,22,0.3817283621029639,130,True
32,22,0.42470810606469733,115,True
32,22,0.31710887825383505,105,True
32,22,0.38807219351550554,46,True
23,37,0.38807219351550554,385,True
23,37,0.46482179797860396,370,True
23,37,0.2942008613554424,360,True
23,37,0.47082573750617396,345,True
23,37,0.28367577966483803,336,True
23,37,0.42364424812131335,321,True
23,37,0.2856727193472368,311,True
23,37,0.46020788682530045,296,True
23,37,0.2983613367667772,286,True
23,37,0.4619820243200376,271,True
23,37,0.32684756012031857,261,True
23,37,0.37943309290039323,246,True
23,37,0.3066572107475781,236,True
23,37,0.49752528567474597,221,True
23,37,0.3131433008317033,211,True
23,37,0.45838720018651824,196,True
23,37,0.32895211952472453,186,True
23,37,0.35027063139903236,171,True
23,37,0.4235387256386953,156,True
23,37,0.31163794960955205,146,True
23,37,0.43457385009635774,131,True
23,37,0.2964780060931216,121,True
23,37,0.48972180275550714,106,True
23,37,0.25726086716512203,96,True
23,37,0.46624445119646657,81,True
23,37,0.30733581001370236,71,True
23,37,0.3784465327372225,11,True
23,37,0.3784465327372225,233,True
23,37,0.41320749512344096,218,True
23,37,0.4575071991622793,203,True
23,37,0.3064018292192945,193,True
23,37,0.45467367188685653,178,True
23,37,0.3220046677312369,168,True
23,37,0.4047826646421494,153,True
23,37,0.2978570616975344,143,True
23,37,0.4586812866349771,128,True
23,37,0.2855190910885562,118,True
23,37,0.44193676638967133,103,True
23,37,0.3157576806968148,93,True
23,37,0.36759465270636626,78,True
23,37,0.40059375336452135,23,True
23,37,0.32904502271140434,13,True
15,22,0.32904502271140434,237,True
15,22,0.45046439362479057,222,True
15,22,0.3149467993241975,212,True
15,22,0.4084220639691515,197,True
15,22,0.30263025361665286,187,True
15,22,0.4737898938173055,172,True
15,22,0.42892684024297956,157,True
15,22,0.3313298048819022,147,True
15,22,0.3078433444894604,137,True
15,22,0.39705001419961505,122,True
15,22,0.4287923666723462,107,True
15,22,0.30318589572144194,97,True
15,22,0.3796012558663042,42,True
32,22,0.3796012558663042,165,True
32,22,0.41188736931003556,150,True
32,22,0.28810001030325927,140,True
32,22,0.44486480371082704,125,True
32,22,0.3114551341075831,115,True
32,22,0.39465469575452333,60,True
32,22,0.35833383040063627,5,True
73,37,0.35833383040063627,324,True
73,37,0.2542557163987294,314,True
73,37,0.4395531428810966,299,True
73,37,0.4425211538055749,284,True
73,37,0.4099629880623469,269,True
73,37,0.3160027122730355,259,True
73,37,0.4570983514846809,244,True
73,37,0.25086000346896176,234,True
73,37,0.4813109436560456,219,True
73,37,0.28551131683741193,209,True
73,37,0.43248272875378935,194,True
73,37,0.42610317573196255,179,True
73,37,0.2898079833065012,169,True
73,37,0.4131722181359672,154,True
73,37,0.44513549080926573,139,True
73,37,0.2871414586057465,129,True
73,37,0.4454475038764081,114,True
73,37,0.31069839106343894,104,True
73,37,0.38189751247405035,49,True
